seed,oracle_type,noise_rate,checkpoint,cumulative_gt_acc,recent_20_gt_acc,w_frobenius,w_max,gt_acc_credential,gt_acc_threat,gt_acc_lateral,gt_acc_exfil,gt_acc_insider
456,gt_aligned,0.15,400,0.805,1.0,3.218752,1.578819,0.773333,0.766234,0.7625,0.810127,0.898876
456,gt_aligned,0.15,700,0.887143,1.0,5.251976,2.455849,0.873134,0.868613,0.86014,0.891304,0.939189
456,gt_aligned,0.15,1000,0.921,1.0,6.969436,3.094666,0.915,0.91,0.9,0.925,0.955
789,gt_aligned,0.15,50,0.4,0.4,0.611706,0.284457,0.545455,0.222222,0.2,0.555556,0.142857
789,gt_aligned,0.15,100,0.51,0.7,0.952201,0.519929,0.5625,0.416667,0.5,0.689655,0.333333
789,gt_aligned,0.15,200,0.64,0.9,1.650999,0.810896,0.805556,0.5,0.583333,0.803922,0.489362
789,gt_aligned,0.15,400,0.7975,0.95,3.238643,1.407033,0.906667,0.691358,0.782609,0.883721,0.730337
789,gt_aligned,0.15,700,0.881429,1.0,5.185363,2.198998,0.948529,0.811189,0.892086,0.931507,0.823529
789,gt_aligned,0.15,1000,0.914,1.0,6.866573,2.961561,0.965,0.86,0.925,0.95,0.87
1024,gt_aligned,0.15,50,0.3,0.55,0.534845,0.214421,0.428571,0.076923,0.428571,0.142857,0.444444
1024,gt_aligned,0.15,100,0.4,0.45,0.797204,0.38977,0.615385,0.142857,0.357143,0.333333,0.47619
1024,gt_aligned,0.15,200,0.47,0.7,1.316366,0.675919,0.772727,0.095238,0.527778,0.378378,0.560976
1024,gt_aligned,0.15,400,0.6175,0.8,2.670033,1.238634,0.873418,0.075,0.729412,0.657895,0.75
1024,gt_aligned,0.15,700,0.702857,0.8,4.531021,2.033866,0.924812,0.118056,0.843537,0.804348,0.847826
1024,gt_aligned,0.15,1000,0.755,0.8,6.157102,2.738637,0.95,0.185,0.885,0.865,0.89
2048,gt_aligned,0.15,50,0.22,0.3,0.474774,0.173893,0.636364,0.166667,0.0,0.111111,0.111111
