condition,volume,q_bar,margin,seed,alarm_fired,alarm_index,t_damage,lead_time,miss,baseline_q,k_used
adversarial,50,0.85,0.02,8550027,False,,,,,0.7677,0.7477
adversarial,50,0.85,0.02,8550028,True,155,309,154,False,0.9443,0.9243
adversarial,50,0.85,0.02,8550029,True,125,,,,0.9433,0.9233
adversarial,50,0.85,0.03,8550000,True,253,166,-87,True,0.9091,0.8791
adversarial,50,0.85,0.03,8550001,True,112,317,205,False,0.8902,0.8602
adversarial,50,0.85,0.03,8550002,True,170,150,-20,True,0.8405,0.8105
adversarial,50,0.85,0.03,8550003,False,,,,,0.8222,0.7922
adversarial,50,0.85,0.03,8550004,False,,278,,True,0.8161,0.7861
adversarial,50,0.85,0.03,8550005,True,87,,,,0.9568,0.9268
adversarial,50,0.85,0.03,8550006,False,,322,,True,0.8032,0.7732
adversarial,50,0.85,0.03,8550007,True,290,214,-76,True,0.8792,0.8492
adversarial,50,0.85,0.03,8550008,True,101,481,380,False,0.9224,0.8924
adversarial,50,0.85,0.03,8550009,False,,335,,True,0.7873,0.7573
adversarial,50,0.85,0.03,8550010,False,,205,,True,0.8022,0.7722
adversarial,50,0.85,0.03,8550011,True,224,155,-69,True,0.8610,0.8310
adversarial,50,0.85,0.03,8550012,False,,163,,True,0.7048,0.6748
adversarial,50,0.85,0.03,8550013,True,107,,,,0.9447,0.9147
adversarial,50,0.85,0.03,8550014,True,281,266,-15,True,0.8478,0.8178
adversarial,50,0.85,0.03,8550015,True,269,,,,0.8855,0.8555
adversarial,50,0.85,0.03,8550016,False,,456,,True,0.7298,0.6998
adversarial,50,0.85,0.03,8550017,True,411,,,,0.8507,0.8207
adversarial,50,0.85,0.03,8550018,False,,,,,0.7293,0.6993
adversarial,50,0.85,0.03,8550019,False,,,,,0.7840,0.7540
adversarial,50,0.85,0.03,8550020,False,,,,,0.8473,0.8173
adversarial,50,0.85,0.03,8550021,False,,479,,True,0.8342,0.8042
adversarial,50,0.85,0.03,8550022,True,250,215,-35,True,0.8709,0.8409
adversarial,50,0.85,0.03,8550023,False,,,,,0.7569,0.7269
adversarial,50,0.85,0.03,8550024,True,155,,,,0.9032,0.8732
adversarial,50,0.85,0.03,8550025,True,451,,,,0.8044,0.7744
adversarial,50,0.85,0.03,8550026,False,,275,,True,0.7958,0.7658
adversarial,50,0.85,0.03,8550027,False,,,,,0.7677,0.7377
adversarial,50,0.85,0.03,8550028,True,204,309,105,False,0.9443,0.9143
adversarial,50,0.85,0.03,8550029,True,130,,,,0.9433,0.9133
adversarial,50,0.85,0.05,8550000,True,276,166,-110,True,0.9091,0.8591
adversarial,50,0.85,0.05,8550001,True,226,317,91,False,0.8902,0.8402
adversarial,50,0.85,0.05,8550002,True,178,150,-28,True,0.8405,0.7905
adversarial,50,0.85,0.05,8550003,False,,,,,0.8222,0.7722
adversarial,50,0.85,0.05,8550004,False,,278,,True,0.8161,0.7661
adversarial,50,0.85,0.05,8550005,True,95,,,,0.9568,0.9068
adversarial,50,0.85,0.05,8550006,False,,322,,True,0.8032,0.7532
