method,seed,checkpoint,cumulative_accuracy,window_accuracy,action_0_accuracy,action_1_accuracy,action_2_accuracy,action_3_accuracy
symmetric,789,1000,0.38,0.412,0.169231,0.0,0.117825,0.968553
symmetric,789,2000,0.3975,0.415,0.259459,0.0,0.11646,0.984227
symmetric,789,5000,0.415,0.426667,0.309386,0.0,0.097334,0.990402
symmetric,1024,50,0.24,0.24,0.166667,0.333333,0.391304,0.0
symmetric,1024,100,0.32,0.4,0.055556,0.166667,0.651163,0.037037
symmetric,1024,200,0.34,0.36,0.029412,0.064516,0.43662,0.53125
symmetric,1024,500,0.366,0.383333,0.130952,0.026316,0.20904,0.815951
symmetric,1024,1000,0.418,0.47,0.190476,0.012121,0.261765,0.902141
symmetric,1024,2000,0.4385,0.459,0.157556,0.006061,0.265185,0.945906
symmetric,1024,5000,0.4226,0.412,0.228221,0.002433,0.154683,0.977166
symmetric,2048,50,0.36,0.36,0.0,0.125,0.466667,0.526316
symmetric,2048,100,0.34,0.32,0.0,0.055556,0.366667,0.611111
symmetric,2048,200,0.405,0.47,0.032258,0.02381,0.560606,0.688525
symmetric,2048,500,0.402,0.4,0.013514,0.010204,0.345238,0.88125
symmetric,2048,1000,0.369,0.336,0.006536,0.005405,0.188235,0.940994
symmetric,2048,2000,0.364,0.359,0.015576,0.002801,0.134128,0.970814
symmetric,2048,5000,0.377,0.385667,0.110312,0.001126,0.120793,0.98575
symmetric,3072,50,0.36,0.36,0.090909,0.0,0.85,0.0
symmetric,3072,100,0.34,0.32,0.038462,0.0,0.916667,0.0
symmetric,3072,200,0.355,0.37,0.055556,0.0,0.958333,0.0
symmetric,3072,500,0.41,0.446667,0.022989,0.0,0.64557,0.577143
symmetric,3072,1000,0.395,0.38,0.011236,0.0,0.438806,0.766355
symmetric,3072,2000,0.4015,0.408,0.008721,0.0,0.302215,0.889051
symmetric,3072,5000,0.3812,0.367667,0.089965,0.0,0.150824,0.953809
symmetric,4096,50,0.34,0.34,0.142857,0.125,0.4375,0.421053
symmetric,4096,100,0.41,0.48,0.071429,0.142857,0.28125,0.725
symmetric,4096,200,0.365,0.32,0.03125,0.076923,0.128571,0.847222
symmetric,4096,500,0.472,0.543333,0.012987,0.029851,0.446809,0.886905
symmetric,4096,1000,0.463,0.454,0.006289,0.01227,0.41369,0.938596
symmetric,4096,2000,0.4035,0.344,0.046729,0.00551,0.239819,0.966309
symmetric,4096,5000,0.4006,0.398667,0.184706,0.002356,0.129641,0.983715
symmetric,5120,50,0.26,0.26,0.0,0.0,0.047619,0.857143
symmetric,5120,100,0.26,0.26,0.0,0.0,0.025,0.925926
symmetric,5120,200,0.295,0.33,0.0,0.0,0.013514,0.966667
symmetric,5120,500,0.33,0.353333,0.0,0.0,0.011299,0.987879
symmetric,5120,1000,0.371,0.412,0.022989,0.0,0.138554,0.993808
symmetric,5120,2000,0.3955,0.42,0.107246,0.0,0.151976,0.996951
symmetric,5120,5000,0.4118,0.422667,0.19878,0.0,0.12469,0.996473
symmetric,6144,50,0.34,0.34,0.090909,0.428571,0.266667,0.529412
symmetric,6144,100,0.3,0.26,0.038462,0.230769,0.482759,0.375
symmetric,6144,200,0.365,0.43,0.02381,0.12,0.58209,0.454545
symmetric,6144,500,0.432,0.476667,0.010417,0.041096,0.5,0.781818
symmetric,6144,1000,0.41,0.388,0.005525,0.02027,0.291022,0.896552
symmetric,6144,2000,0.3875,0.365,0.075419,0.009901,0.154545,0.946981
symmetric,6144,5000,0.3924,0.395667,0.190311,0.003727,0.079902,0.978248
